时间戳,标题,情感得分
2025-10-08 04:15:00,，好的，我们来深入分析一下平安银行在跨境支付领域的地位。总体而言，平安银行在跨境,-0.3333333333333333
2025-10-07 05:04:00,平安银行（000001）平安银行昨天收盘11.34元，成交额9.42亿，微跌0.,1.0
2025-10-08 04:56:00,********【重磅研究】AI产业链诞生大牛G！银行是红利稳定器！平安银行**,1.0
2025-10-06 04:31:00,1998年，一张平安银行1.76元/股的内部认购单摆在面前，多数人犹豫，少数人顶,0.0
2025-10-08 05:32:00,几年之前的银行板块中的三兄弟：招行。宁波行。平安银行。今天招行已站上每股净资产二,1.0
2025-10-08 02:12:00,马后炮一次,-1.0
2025-10-06 06:39:00,假期快结束了，假期其中消费了不少！节后股市大涨，我将第一个带头使劲大消费！,1.0
2025-10-04 01:01:00,【热点研报】未来是数字经济时代，不是大金融时代！！！！！！！！AI改变世界，赋能,1.0
2025-10-06 03:10:00,9月复盘总结：花了9K，存下1万元,0.0
